zone_name,LOW,MEDIUM,HIGH,CRITICAL,LOW_frames,LOW_seconds,MEDIUM_frames,MEDIUM_seconds,HIGH_frames,HIGH_seconds,CRITICAL_frames,CRITICAL_seconds,total_frames,total_seconds,high_or_critical_frames,high_or_critical_seconds,high_or_critical_percent
sidewalk_right,0,216,336,3981,0,0.0,216,7.1886203587637425,336,11.18229833585471,3981,132.49026688999285,4533,150.86118558461132,4317,143.67256522584756,95.23494374586366
sidewalk_bottom,937,2029,1563,4,937,31.18396887111864,2029,67.52643846264645,1563,52.01765565160986,4,0.1331225992363656,4533,150.86118558461132,1567,52.15077825084622,34.568718288109416
crosswalk_main,3107,126,153,1147,3107,103.40297895684698,126,4.1933618759455165,153,5.091939420790984,1147,38.172905331027835,4533,150.86118558461132,1300,43.26484475181882,28.67857930730201
sidewalk_left,929,3240,364,0,929,30.91772367264591,3240,107.82930538145614,364,12.11415653050927,0,0.0,4533,150.86118558461132,364,12.11415653050927,8.030002206044562
crosswalk_main_left,3770,671,92,0,3770,125.46804978027457,671,22.331316021900328,92,3.061819782436409,0,0.0,4533,150.86118558461132,92,3.061819782436409,2.029560997132142
crosswalk_left,4340,193,0,0,4340,144.43802017145669,193,6.42316541315464,0,0.0,0,0.0,4533,150.86118558461132,0,0.0,0.0
crosswalk_top,4228,305,0,0,4228,140.71058739283845,305,10.150598191772877,0,0.0,0,0.0,4533,150.86118558461132,0,0.0,0.0
