zone_name,ACCUMULATING,DISPERSING,STABLE,total_frames,ACCUMULATING_percent,DISPERSING_percent,STABLE_percent
sidewalk_left,1217,1189,2127,4533,26.84756232075888,26.229869843370835,46.92256783587028
crosswalk_main_left,761,738,3034,4533,16.787999117582174,16.28060886829914,66.93139201411869
crosswalk_top,602,599,3332,4533,13.28038826384293,13.214206926979925,73.50540480917715
sidewalk_right,577,595,3361,4533,12.728877123317892,13.125965144495918,74.14515773218619
crosswalk_left,415,418,3700,4533,9.15508493271564,9.221266269578646,81.62364879770571
sidewalk_bottom,376,394,3763,4533,8.29472755349658,8.691815574674608,83.01345687182881
crosswalk_main,9,7,4517,4533,0.1985440105890139,0.1544231193470108,99.64703287006398
