frame_id,processed_id,timestamp_sec,zone_name,zone_count,zone_area_pixels,zone_density_pixel,risk_level,total_count
8,8,0.2662451984727325,crosswalk_main_left,0,38193.0,0.0,LOW,103
8,8,0.2662451984727325,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,103
9,9,0.2995258482818241,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,101
9,9,0.2995258482818241,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,101
9,9,0.2995258482818241,sidewalk_right,48,105026.0,0.0004570296878868,CRITICAL,101
9,9,0.2995258482818241,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,101
9,9,0.2995258482818241,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,101
9,9,0.2995258482818241,crosswalk_main_left,0,38193.0,0.0,LOW,101
9,9,0.2995258482818241,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,101
10,10,0.3328064980909156,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,100
10,10,0.3328064980909156,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,100
10,10,0.3328064980909156,sidewalk_right,47,105026.0,0.0004475082360558,CRITICAL,100
10,10,0.3328064980909156,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,100
10,10,0.3328064980909156,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,100
10,10,0.3328064980909156,crosswalk_main_left,0,38193.0,0.0,LOW,100
10,10,0.3328064980909156,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,100
11,11,0.3660871479000072,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,102
11,11,0.3660871479000072,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,102
11,11,0.3660871479000072,sidewalk_right,48,105026.0,0.0004570296878868,CRITICAL,102
11,11,0.3660871479000072,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,102
11,11,0.3660871479000072,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,102
11,11,0.3660871479000072,crosswalk_main_left,0,38193.0,0.0,LOW,102
11,11,0.3660871479000072,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,102
12,12,0.3993677977090987,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
12,12,0.3993677977090987,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
12,12,0.3993677977090987,sidewalk_right,48,105026.0,0.0004570296878868,CRITICAL,104
12,12,0.3993677977090987,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
12,12,0.3993677977090987,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
12,12,0.3993677977090987,crosswalk_main_left,0,38193.0,0.0,LOW,104
12,12,0.3993677977090987,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
13,13,0.4326484475181903,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,103
13,13,0.4326484475181903,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,103
13,13,0.4326484475181903,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,103
13,13,0.4326484475181903,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,103
13,13,0.4326484475181903,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,103
13,13,0.4326484475181903,crosswalk_main_left,0,38193.0,0.0,LOW,103
13,13,0.4326484475181903,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,103
14,14,0.4659290973272819,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,103
14,14,0.4659290973272819,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,103
14,14,0.4659290973272819,sidewalk_right,48,105026.0,0.0004570296878868,CRITICAL,103
14,14,0.4659290973272819,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,103
14,14,0.4659290973272819,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,103
14,14,0.4659290973272819,crosswalk_main_left,0,38193.0,0.0,LOW,103
14,14,0.4659290973272819,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,103
15,15,0.4992097471363734,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
15,15,0.4992097471363734,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
15,15,0.4992097471363734,sidewalk_right,50,105026.0,0.0004760725915487,CRITICAL,104
15,15,0.4992097471363734,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
15,15,0.4992097471363734,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
15,15,0.4992097471363734,crosswalk_main_left,0,38193.0,0.0,LOW,104
15,15,0.4992097471363734,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
16,16,0.5324903969454651,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
16,16,0.5324903969454651,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
16,16,0.5324903969454651,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,104
16,16,0.5324903969454651,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
16,16,0.5324903969454651,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
16,16,0.5324903969454651,crosswalk_main_left,0,38193.0,0.0,LOW,104
16,16,0.5324903969454651,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
17,17,0.5657710467545566,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
17,17,0.5657710467545566,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
17,17,0.5657710467545566,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,104
17,17,0.5657710467545566,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
17,17,0.5657710467545566,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
17,17,0.5657710467545566,crosswalk_main_left,0,38193.0,0.0,LOW,104
17,17,0.5657710467545566,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
18,18,0.5990516965636482,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,105
18,18,0.5990516965636482,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,105
18,18,0.5990516965636482,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,105
18,18,0.5990516965636482,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,105
18,18,0.5990516965636482,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,105
18,18,0.5990516965636482,crosswalk_main_left,0,38193.0,0.0,LOW,105
18,18,0.5990516965636482,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,105
19,19,0.6323323463727397,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,105
19,19,0.6323323463727397,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,105
19,19,0.6323323463727397,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,105
19,19,0.6323323463727397,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,105
19,19,0.6323323463727397,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,105
19,19,0.6323323463727397,crosswalk_main_left,0,38193.0,0.0,LOW,105
19,19,0.6323323463727397,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,105
20,20,0.6656129961818313,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,105
20,20,0.6656129961818313,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,105
20,20,0.6656129961818313,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,105
20,20,0.6656129961818313,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,105
20,20,0.6656129961818313,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,105
20,20,0.6656129961818313,crosswalk_main_left,0,38193.0,0.0,LOW,105
20,20,0.6656129961818313,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,105
21,21,0.6988936459909229,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
21,21,0.6988936459909229,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
21,21,0.6988936459909229,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,104
21,21,0.6988936459909229,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
21,21,0.6988936459909229,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
21,21,0.6988936459909229,crosswalk_main_left,0,38193.0,0.0,LOW,104
21,21,0.6988936459909229,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
22,22,0.7321742958000145,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
22,22,0.7321742958000145,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
22,22,0.7321742958000145,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,104
22,22,0.7321742958000145,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
22,22,0.7321742958000145,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
22,22,0.7321742958000145,crosswalk_main_left,0,38193.0,0.0,LOW,104
22,22,0.7321742958000145,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
23,23,0.765454945609106,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,104
23,23,0.765454945609106,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,104
23,23,0.765454945609106,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,104
23,23,0.765454945609106,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,104
23,23,0.765454945609106,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,104
23,23,0.765454945609106,crosswalk_main_left,0,38193.0,0.0,LOW,104
23,23,0.765454945609106,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,104
24,24,0.7987355954181975,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,103
24,24,0.7987355954181975,sidewalk_bottom,7,130166.0,5.3777484135642177e-05,LOW,103
24,24,0.7987355954181975,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,103
24,24,0.7987355954181975,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,103
24,24,0.7987355954181975,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,103
24,24,0.7987355954181975,crosswalk_main_left,0,38193.0,0.0,LOW,103
24,24,0.7987355954181975,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,103
25,25,0.8320162452272891,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,107
25,25,0.8320162452272891,sidewalk_bottom,8,130166.0,6.145998186930535e-05,MEDIUM,107
25,25,0.8320162452272891,sidewalk_right,49,105026.0,0.0004665511397177,CRITICAL,107
25,25,0.8320162452272891,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,107
25,25,0.8320162452272891,crosswalk_top,1,11964.5,8.358059258640144e-05,LOW,107
25,25,0.8320162452272891,crosswalk_main_left,0,38193.0,0.0,LOW,107
25,25,0.8320162452272891,sidewalk_left,9,38974.5,0.000230920217065,MEDIUM,107
26,26,0.8652968950363806,crosswalk_main,2,704629.0,2.8383731013057937e-06,LOW,105
26,26,0.8652968950363806,sidewalk_bottom,8,130166.0,6.145998186930535e-05,MEDIUM,105
26,26,0.8652968950363806,sidewalk_right,48,105026.0,0.0004570296878868,CRITICAL,105
26,26,0.8652968950363806,crosswalk_left,1,59512.5,1.6803192606595252e-05,LOW,105
