frame_id,processed_id,timestamp_sec,total_count,inference_time_sec,inference_fps
485,485,16.14111515740941,2331,0.0580062866210937,17.23951071945285
486,486,16.1743958072185,2364,0.0575933456420898,17.363117020748124
487,487,16.207676457027592,2339,0.0561389923095703,17.812931063771956
491,491,16.340799056263958,2359,0.0566363334655761,17.656510208377185
520,520,17.305937900727614,2379,0.0567209720611572,17.630163300477083
526,526,17.505621799582162,2341,0.0569584369659423,17.55666154599604
527,527,17.538902449391255,2330,0.0564217567443847,17.723659412634692
528,528,17.572183099200345,2317,0.0562615394592285,17.774131486833518
529,529,17.605463749009438,2346,0.0580463409423828,17.227614760293104
530,530,17.638744398818528,2336,0.0546250343322753,18.306624649737685
531,531,17.67202504862762,2359,0.0568335056304931,17.595254575735076
532,532,17.705305698436714,2371,0.0559864044189453,17.861479235512554
533,533,17.738586348245803,2409,0.0561211109161376,17.81860664686965
534,534,17.771866998054897,2408,0.0561432838439941,17.811569461784764
535,535,17.805147647863986,2404,0.055755615234375,17.935413245758074
536,536,17.83842829767308,2378,0.0558156967163085,17.91610709587028
537,537,17.87170894748217,2367,0.0556607246398925,17.96598959984237
538,538,17.904989597291262,2373,0.0562992095947265,17.762238709895993
539,539,17.938270247100352,2378,0.0554349422454834,18.03916373848979
540,540,17.971550896909445,2339,0.0567433834075927,17.6232000974794
541,541,18.004831546718535,2341,0.0551264286041259,18.14011945488437
604,604,20.101512484691305,2320,0.056147813796997,17.810132441051206
703,703,23.39629681579137,2156,0.0555701255798339,17.995280549858844
704,704,23.429577465600463,2100,0.0562365055084228,17.782043726920843
705,705,23.462858115409556,2090,0.0563595294952392,17.7432283228069
706,706,23.49613876521865,2143,0.0560941696166992,17.827164691681258
707,707,23.529419415027736,2111,0.0546305179595947,18.304787092438147
708,708,23.56270006483683,2132,0.0558640956878662,17.900585119776707
709,709,23.59598071464592,2166,0.0559966564178466,17.85820911409436
710,710,23.62926136445501,2153,0.0548632144927978,18.22714927014119
711,711,23.6625420142641,2143,0.0563127994537353,17.757952183172236
712,712,23.695822664073194,2141,0.0556573867797851,17.967067048199997
713,713,23.729103313882284,2130,0.0564353466033935,17.71939148398653
714,714,23.762383963691377,2080,0.055513858795166,18.013519897612973
799,799,26.59123919746416,2198,0.0548708438873291,18.22461491668296
800,800,26.62451984727325,2242,0.055438756942749,18.03792247781978
801,801,26.65780049708234,2256,0.0562012195587158,17.79320818750663
1087,1087,36.17606634248253,2394,0.0550367832183837,18.169666567030987
1266,1266,42.13330265830992,2334,0.0572905540466308,17.454884433235954
1267,1267,42.166583308119016,2362,0.0587646961212158,17.017019843636525
1268,1268,42.1998639579281,2337,0.0564806461334228,17.70517988830589
1269,1269,42.2331446077372,2321,0.056434154510498,17.719765781446714
1270,1270,42.26642525754629,2344,0.0573117733001709,17.448421893395125
1271,1271,42.29970590735538,2314,0.0568315982818603,17.595845097307116
1272,1272,42.33298655716447,2342,0.0555019378662109,18.017388913708373
1273,1273,42.36626720697356,2338,0.0556538105010986,17.96822160057234
1274,1274,42.399547856782654,2279,0.0562500953674316,17.77774763701098
1275,1275,42.43282850659175,2285,0.0566215515136718,17.661119719733207
1276,1276,42.46610915640083,2289,0.0561223030090332,17.818228162145168
1277,1277,42.499389806209926,2250,0.0561091899871826,17.82239237865377
1278,1278,42.53267045601902,2287,0.0555555820465087,17.999991416935245
1279,1279,42.56595110582811,2320,0.0577425956726074,17.318237747223254
1356,1356,45.12856114112816,2297,0.0557832717895507,17.926521122185562
1357,1357,45.16184179093725,2296,0.0553832054138183,18.05601522208925
1359,1359,45.22840309055544,2303,0.0558640956878662,17.900585119776707
1360,1360,45.261683740364525,2270,0.0564935207366943,17.701144962460592
1361,1361,45.29496439017362,2242,0.057873249053955,17.27914047244354
1366,1366,45.46136763921908,2316,0.0561652183532714,17.804613412346015
1367,1367,45.49464828902817,2298,0.0558521747589111,17.904405769633016
1875,1875,62.40121839204669,2406,0.0554397106170654,18.037612189342497
1876,1876,62.43449904185577,2403,0.0554234981536865,18.04288854570405
1877,1877,62.46777969166487,2387,0.0561087131500244,17.822543841384906
1977,1977,65.79584467257402,2357,0.0565128326416015,17.69509602079044
1979,1979,65.8624059721922,2323,0.0552475452423095,18.10035171000108
1984,1984,66.02880922123767,2364,0.0554506778717041,18.03404463897978
1985,1985,66.06208987104675,2388,0.0558714866638183,17.898217135639364
1986,1986,66.09537052085585,2418,0.0547897815704345,18.25157851221688
1987,1987,66.12865117066494,2416,0.0566449165344238,17.653834821917116
1988,1988,66.16193182047402,2386,0.0545125007629394,18.34441616151013
1989,1989,66.19521247028312,2374,0.0552167892456054,18.11043368624674
2011,2011,66.92738676608313,2410,0.0559351444244384,17.877847823399783
2012,2012,66.96066741589223,2419,0.0562384128570556,17.78144064167949
2013,2013,66.99394806570132,2411,0.0565888881683349,17.671313792653073
2014,2014,67.0272287155104,2365,0.0562529563903808,17.77684346152868
2016,2016,67.09379001512859,2384,0.0580956935882568,17.212979796528927
2017,2017,67.12707066493769,2396,0.0552506446838378,18.09933631946422
2018,2018,67.16035131474678,2349,0.0558128356933593,17.917025493814503
2135,2135,71.05418734241049,2311,0.0563991069793701,17.730777197691868
2427,2427,80.77213708666523,2253,0.0550894737243652,18.15228813045849
2428,2428,80.80541773647433,2344,0.0559456348419189,17.8744955317
2429,2429,80.83869838628341,2275,0.0594041347503662,16.833845054764225
2430,2430,80.8719790360925,2299,0.0549972057342529,18.182741952964125
2817,2817,93.75159051221094,2266,0.054910659790039,18.21140018757164
2818,2818,93.78487116202002,2289,0.0556807518005371,17.959527622440504
2820,2820,93.8514324616382,2238,0.0565860271453857,17.672207264714185
2821,2821,93.8847131114473,2237,0.0555996894836425,17.98571195787343
2822,2822,93.9179937612564,2261,0.0557119846343994,17.94945928712346
2844,2844,94.6501680570564,2399,0.0556974411010742,17.95414619112032
2845,2845,94.6834487068655,2324,0.0558695793151855,17.898828168340916
2846,2846,94.7167293566746,2349,0.0564949512481689,17.700696750887293
2847,2847,94.75001000648368,2331,0.0552930831909179,18.08544472998845
2848,2848,94.78329065629278,2363,0.0560102462768554,17.853876147179513
2849,2849,94.81657130610186,2414,0.055621862411499,17.97854218907392
2855,2855,95.01625520495642,2371,0.0560853481292724,17.829968670160984
