frame_id,timestamp_sec,zone_name,zone_short_id,zone_count,count_past_30f,absolute_count_increase,count_percent_change_30f,zone_density_pixel,density_percent_change_30f,risk_level
2783,92.64510620347394,crosswalk_bottom,CW4,20.0,10.0,10.0,100.0,0.0002115987875389,100.0000000000945,HIGH
2784,92.67839585715826,crosswalk_bottom,CW4,20.0,10.0,10.0,100.0,0.0002115987875389,100.0000000000945,HIGH
2864,95.3415681519042,crosswalk_bottom,CW4,35.0,20.0,15.0,75.0,0.0003702978781931,75.00000000001182,CRITICAL
2871,95.57459572769446,crosswalk_bottom,CW4,30.0,20.0,10.0,50.0,0.0003173981813084,50.000000000023626,CRITICAL
2873,95.64117503506311,crosswalk_bottom,CW4,34.0,19.0,15.0,78.94736842105263,0.0003597179388162,78.9473684211364,CRITICAL
2878,95.80762330348472,crosswalk_bottom,CW4,38.0,20.0,18.0,90.0,0.0004020376963239,89.99999999999528,CRITICAL
2883,95.97407157190636,crosswalk_bottom,CW4,32.0,21.0,11.0,52.38095238095239,0.0003385580600623,52.380952381010246,CRITICAL
2885,96.040650879275,crosswalk_bottom,CW4,29.0,17.0,12.0,70.58823529411765,0.0003068182419314,70.58823529408167,HIGH
2886,96.07394053295933,crosswalk_bottom,CW4,31.0,20.0,11.0,55.00000000000001,0.0003279781206853,55.000000000002366,CRITICAL
2887,96.10723018664363,crosswalk_bottom,CW4,32.0,18.0,14.0,77.77777777777779,0.0003385580600623,77.77777777781863,CRITICAL
2889,96.1738094940123,crosswalk_bottom,CW4,33.0,21.0,12.0,57.14285714285714,0.0003491379994392,57.14285714289571,CRITICAL
2988,99.4694852087604,crosswalk_bottom,CW4,32.0,19.0,13.0,68.42105263157895,0.0003385580600623,68.42105263165487,CRITICAL
2989,99.50277486244472,crosswalk_bottom,CW4,33.0,19.0,14.0,73.68421052631578,0.0003491379994392,73.68421052637076,CRITICAL
2990,99.53606451612904,crosswalk_bottom,CW4,24.0,14.0,10.0,71.42857142857143,0.0002539185450467,71.42857142861966,HIGH
3008,100.13527828244686,crosswalk_bottom,CW4,23.0,9.0,14.0,155.55555555555557,0.0002433386056697,155.55555555546425,HIGH
3009,100.16856793613118,crosswalk_bottom,CW4,22.0,10.0,12.0,120.0,0.0002327586662928,120.00000000011342,HIGH
3023,100.63462308771172,crosswalk_bottom,CW4,21.0,11.0,10.0,90.9090909090909,0.0002221787269158,90.90909090904404,HIGH
3024,100.66791274139604,crosswalk_bottom,CW4,20.0,10.0,10.0,100.0,0.0002115987875389,100.0000000000945,HIGH
3027,100.76778170244904,crosswalk_bottom,CW4,22.0,11.0,11.0,100.0,0.0002327586662928,100.0,HIGH
3036,101.06738858560794,crosswalk_bottom,CW4,27.0,15.0,12.0,80.0,0.0002856583631775,79.99999999996221,HIGH
