frame_id,timestamp_sec,zone_total_count,crowd_distribution_entropy,normalized_entropy
0,0.0,129.0,1.5816847240375116,0.7606295692062489
1,0.033289653684324,124.0,1.5765500852454908,0.7581603298989141
2,0.0665793073686481,130.0,1.5725541402754961,0.7562386865682886
3,0.0998689610529722,129.0,1.579216470127504,0.7594425899810413
4,0.1331586147372963,133.0,1.529521588829805,0.735544403712456
5,0.1664482684216204,126.0,1.522042659493883,0.7319477989577581
6,0.1997379221059445,134.0,1.53320874236708,0.7373175497535303
7,0.2330275757902686,139.0,1.490668531064093,0.7168600324584676
8,0.2663172294745927,139.0,1.5245190661374668,0.7331386988190657
9,0.2996068831589168,142.0,1.5351070178674602,0.7382304273037434
10,0.3328965368432409,139.0,1.5627129942658027,0.7515060957200056
11,0.366186190527565,141.0,1.533706991661879,0.7375571570157746
12,0.3994758442118891,143.0,1.5021827034922093,0.7223971789457956
13,0.4327654978962131,147.0,1.4529261275697096,0.6987097730076085
14,0.4660551515805373,141.0,1.563472403751867,0.751871294486522
15,0.4993448052648613,138.0,1.4900244815495338,0.7165503101115538
16,0.5326344589491855,137.0,1.5056041861036311,0.7240425642777909
17,0.5659241126335095,139.0,1.5108259510376107,0.7265537024027711
18,0.5992137663178336,132.0,1.4541038379531002,0.6992761319841823
19,0.6325034200021578,130.0,1.4536688644731983,0.6990669539567247
20,0.6657930736864818,128.0,1.4657663899853344,0.7048846339778535
21,0.6990827273708059,130.0,1.4929741535103176,0.7179688024815778
22,0.73237238105513,121.0,1.4893161918129576,0.7162096947480634
23,0.765662034739454,132.0,1.5275637233724408,0.7346028694504336
24,0.7989516884237782,144.0,1.592891361983052,0.766018822869272
25,0.8322413421081023,132.0,1.5375104629247067,0.7393862400587897
26,0.8655309957924263,132.0,1.5701117044317183,0.7550641232084527
27,0.8988206494767504,138.0,1.5510266837535098,0.7458861683125478
28,0.9321103031610746,139.0,1.5369456663994718,0.7391146303434337
29,0.9653999568453986,136.0,1.5217688736986938,0.7318161358214297
30,0.9986896105297228,146.0,1.5232050859585649,0.7325068079230896
31,1.0319792642140468,152.0,1.5556450598103873,0.7481071377239535
32,1.065268917898371,131.0,1.5930178475286136,0.7660796495590473
33,1.0985585715826949,142.0,1.5904852952471336,0.7648617493532862
34,1.131848225267019,139.0,1.5905125903302948,0.7648748755136586
35,1.1651378789513431,123.0,1.6451431152163065,0.791146604625062
36,1.1984275326356673,124.0,1.6240934049541265,0.7810238337559299
37,1.2317171863199914,127.0,1.6268572295799002,0.78235295244976
38,1.2650068400043155,126.0,1.6204278928123874,0.7792610950261948
39,1.2982964936886394,133.0,1.5543878148108825,0.7475025306819643
40,1.3315861473729635,129.0,1.58806514947622,0.7636979052526444
41,1.3648758010572877,137.0,1.6014636007993812,0.7701411983458167
42,1.3981654547416118,124.0,1.5761553053663353,0.757970480907614
43,1.431455108425936,134.0,1.4918297867583163,0.717418478402221
44,1.46474476211026,120.0,1.591294451968244,0.7652508714829022
45,1.498034415794584,125.0,1.5666957561207586,0.7534213993124012
46,1.531324069478908,126.0,1.5690394266767935,0.7545484666086242
47,1.5646137231632322,121.0,1.5989895306426467,0.7689514220971726
48,1.5979033768475563,129.0,1.575285537930635,0.7575522111855434
49,1.6311930305318805,135.0,1.5679728203728764,0.7540355374002101
50,1.6644826842162046,121.0,1.6185279329771702,0.7783474074821427
51,1.6977723379005285,134.0,1.6109469319640193,0.7747017166265937
52,1.7310619915848526,129.0,1.5798997870465932,0.7597711959578832
53,1.7643516452691768,134.0,1.5509090451523204,0.7458295961036968
54,1.7976412989535009,132.0,1.5175622578177888,0.7297931811979942
55,1.830930952637825,130.0,1.5604572574472864,0.7504213156127976
56,1.8642206063221487,133.0,1.5282360619693893,0.7349261959703056
57,1.897510260006473,130.0,1.5096049942784397,0.7259665463155724
58,1.9307999136907967,128.0,1.481790913937102,0.7125908010571274
59,1.9640895673751213,130.0,1.4965563425171975,0.7196914712534953
60,1.9973792210594452,128.0,1.4342774778174852,0.6897416681686721
61,2.0306688747437693,122.0,1.4299614471729123,0.6876660961662554
62,2.0639585284280937,127.0,1.4241708628172496,0.6848814137216674
63,2.0972481821124176,129.0,1.4875451213238016,0.7153579898774733
64,2.130537835796742,123.0,1.47597081600085,0.709791925580421
65,2.163827489481066,120.0,1.500479275023618,0.7215780030110803
66,2.1971171431653898,127.0,1.5061627658798615,0.7243111843688271
67,2.230406796849714,121.0,1.482736650654144,0.713045604281015
68,2.263696450534038,121.0,1.453049740906497,0.6987692184569322
69,2.2969861042183624,132.0,1.4550160236235274,0.6997148005652141
70,2.3302757579026863,138.0,1.4516509373184625,0.6980965361237205
71,2.3635654115870106,130.0,1.429109995711628,0.6872566345660045
72,2.3968550652713345,135.0,1.4192507169493007,0.6825153237069541
73,2.4301447189556584,144.0,1.4688999006765937,0.706391534089471
74,2.4634343726399828,145.0,1.4755229775343415,0.7095765608021707
75,2.4967240263243067,139.0,1.4955452335859158,0.7192052306398424
76,2.530013680008631,132.0,1.5002740679194941,0.7214793192539221
77,2.563303333692955,140.0,1.4965147489989687,0.7196714689993348
78,2.596592987377279,139.0,1.507756097325816,0.7250774148273507
79,2.629882641061603,138.0,1.4775806189630607,0.7105660771638843
80,2.663172294745927,130.0,1.5707546870661286,0.7553733324944665
81,2.6964619484302514,130.0,1.514976658793292,0.7285497709012045
82,2.729751602114576,132.0,1.5228053205852436,0.7323145614158865
83,2.7630412557989,124.0,1.5329332915707343,0.737185085920898
84,2.796330909483224,126.0,1.5055436898483245,0.7240134717286165
85,2.8296205631675475,133.0,1.5908180765879325,0.7650217833499765
86,2.862910216851872,127.0,1.586560889786717,0.7629745092545593
87,2.896199870536196,124.0,1.495491169161028,0.7191792311472843
88,2.92948952422052,124.0,1.505692600544501,0.7240850826362529
89,2.962779177904844,123.0,1.543452292123403,0.7422436558983792
90,2.996068831589168,116.0,1.5255962825922544,0.7336567304314944
91,3.0293584852734923,116.0,1.524252354847019,0.733010437800373
92,3.062648138957816,129.0,1.4823759800205696,0.712872158369531
93,3.0959377926421405,135.0,1.4604646205671878,0.7023350218286879
94,3.1292274463264644,136.0,1.4683581837979374,0.7061310233380031
95,3.162517100010789,138.0,1.4605710385404869,0.7023861980561346
96,3.1958067536951127,138.0,1.4658885911168,0.7049434002999724
97,3.2290964073794366,132.0,1.4305661702845869,0.68795690651103
98,3.262386061063761,133.0,1.5001528331720544,0.7214210176642838
99,3.295675714748085,136.0,1.518632250726687,0.7303077390191455
100,3.328965368432409,137.0,1.5012774175392067,0.7219618284274678
101,3.362255022116733,124.0,1.5040292991896675,0.7232852037642122
