zone_name,ACCUMULATING,DISPERSING,STABLE,total_frames,ACCUMULATING_percent,DISPERSING_percent,STABLE_percent
sidewalk_top,2455,2477,4337,9269,26.486136584313304,26.72348689178984,46.79037652389686
sidewalk_left,2412,2409,4448,9269,26.022224619700076,25.989858668680547,47.98791671161938
sidewalk_right,2390,2421,4458,9269,25.784874312223543,26.11932247275866,48.0958032150178
crosswalk_top,1929,1943,5397,9269,20.811306505556153,20.96234761031395,58.22634588412989
sidewalk_bottom,1796,1793,5680,9269,19.376416010357104,19.34405005933758,61.27953393030532
crosswalk_left,1318,1350,6601,9269,14.219441147912395,14.564677958787357,71.21588089330024
crosswalk_bottom,715,704,7850,9269,7.713884992987377,7.595209839249111,84.6909051677635
crosswalk_main,89,83,9097,9269,0.9601898802459812,0.8954579782069263,98.1443521415471
