zone_name,zone_short_id,frames_observed,mean_count,median_count,min_count,max_count,std_count,mean_density,median_density,min_density,max_density,std_density,zone_area_pixels,count_variability,density_variability
sidewalk_right,SW2,9269,45.95598230661344,47.0,8,80,12.596096054736302,0.0004337229471069177,0.0004435761676906,7.550232641543197e-05,0.0007550232641543,0.00011887931948560437,105957.0,0.2740904540005781,0.2740904533746258
crosswalk_main,CW1,9269,39.484734059769124,6.0,0,204,56.9086687468242,4.402380887368076e-05,6.689746291371892e-06,0.0,0.0002274513739066,6.345075928264335e-05,896895.0,1.4412828172842371,1.4412827845819136
sidewalk_left,SW4,9269,16.871507174452475,16.0,0,52,8.036400014201483,0.0004689916932909896,0.0004447656640907,0.0,0.0014454884082948,0.0002233946743259356,35974.0,0.476329703720495,0.4763297027331333
sidewalk_bottom,SW3,9269,15.879382889200562,17.0,0,41,8.478890172505812,0.00013763755960506806,0.0001473507207183,0.0,0.0003553752676149,7.349238693001881e-05,115371.0,0.5339558993654773,0.5339558955196471
sidewalk_top,SW1,9269,14.990937533714533,15.0,0,40,6.076348854597271,0.0005144718339555519,0.0005147828474355,0.0,0.001372754259828,0.00020853334435873522,29138.5,0.40533481248429337,0.40533481172346697
crosswalk_left,CW2,9269,6.946919840327975,2.0,0,43,8.930737926129366,0.00013927544337951462,4.009703482427394e-05,0.0,0.0008620862487218,0.00017904805481521631,49879.0,1.2855680114515564,1.2855680024062568
crosswalk_bottom,CW4,9269,5.89588952422052,4.0,0,39,6.617440544193983,6.23781537394239e-05,4.231975750778903e-05,0.0,0.0004126176357009,7.001211978810968e-05,94518.5,1.1223820453023967,1.1223820274994605
crosswalk_top,CW3,9269,2.954579782069263,2.0,0,40,4.166266565158345,0.00023666931929419368,0.0001602050624799,0.0,0.0032041012495992,0.00033372849768967147,12484.0,1.4101046074411174,1.4101046019603538
