zone_name,zone_short_id,event_start_frame,event_end_frame,event_start_sec,event_end_sec,event_duration_sec,peak_frame_id,peak_timestamp_sec,peak_zone_count,peak_absolute_increase,peak_percent_increase,peak_risk_level
crosswalk_bottom,CW4,2783,2889,92.64510620347394,96.1738094940123,3.5287032905383597,2878,95.80762330348472,38.0,18.0,90.0,CRITICAL
crosswalk_bottom,CW4,2988,3223,99.4694852087604,107.29255382457654,7.82306861581614,3182,105.92767802351923,39.0,26.0,200.0,CRITICAL
crosswalk_bottom,CW4,3314,3314,110.32191230985003,110.32191230985003,0.0,3314,110.32191230985003,21.0,12.0,133.33333333333331,HIGH
crosswalk_bottom,CW4,6983,7497,232.46165167763516,249.5725336713777,17.110881993742538,7154,238.1541824576545,34.0,22.0,183.33333333333331,CRITICAL
crosswalk_left,CW2,547,1049,18.20944056532528,34.92084671485597,16.71140614953069,910,30.293584852734924,25.0,24.0,2400.0,HIGH
crosswalk_left,CW2,1194,1243,39.74784649908296,41.37903952961484,1.6311930305318825,1206,40.14732234329485,27.0,20.0,285.7142857142857,HIGH
crosswalk_left,CW2,4713,4808,156.89413781421945,160.05665491423022,3.162517100010774,4808,160.05665491423022,36.0,16.0,80.0,CRITICAL
crosswalk_left,CW2,4902,5560,163.1858823605567,185.09047448484196,21.904592124285273,5098,169.71065448268422,33.0,22.0,200.0,CRITICAL
crosswalk_left,CW2,8935,9192,297.4430556694357,305.99849666630706,8.555440996871368,9184,305.73217943683244,29.0,17.0,141.66666666666669,HIGH
crosswalk_main,CW1,386,602,12.8498063221491,20.040371517963106,7.190565195814006,585,19.47444740532959,97.0,40.0,70.17543859649122,CRITICAL
crosswalk_main,CW1,1711,1711,56.95859745387852,56.95859745387852,0.0,1711,56.95859745387852,44.0,15.0,51.724137931034484,CRITICAL
crosswalk_main,CW1,4638,4732,154.39741378789512,157.5266412342216,3.1292274463264675,4711,156.82755850685078,61.0,29.0,90.625,CRITICAL
crosswalk_main,CW1,8878,9034,295.5455454094293,300.73873138418384,5.193185974754556,9034,300.73873138418384,107.0,39.0,57.35294117647059,CRITICAL
crosswalk_top,CW3,2838,3058,94.47603715611176,101.79976096666309,7.3237238105513285,2899,96.50670603085554,37.0,29.0,362.5,CRITICAL
crosswalk_top,CW3,7075,7228,235.52429981659293,240.6176168302945,5.093317013701579,7219,240.3180099471356,38.0,33.0,660.0,CRITICAL
crosswalk_top,CW3,7373,7446,245.44461661452152,247.8747613334772,2.430144718955688,7446,247.8747613334772,25.0,20.0,400.0,HIGH
sidewalk_bottom,SW3,291,336,9.687289222138311,11.185323637932894,1.4980344157945833,336,11.185323637932894,35.0,13.0,59.09090909090909,CRITICAL
sidewalk_bottom,SW3,446,575,14.847185543208544,19.141550868486352,4.294365325277807,446,14.847185543208544,34.0,16.0,88.88888888888889,CRITICAL
sidewalk_bottom,SW3,1397,1397,46.50564619700076,46.50564619700076,0.0,1397,46.50564619700076,20.0,10.0,100.0,HIGH
sidewalk_bottom,SW3,1550,1550,51.59896321070234,51.59896321070234,0.0,1550,51.59896321070234,21.0,11.0,110.00000000000001,HIGH
sidewalk_bottom,SW3,2785,2785,92.7116855108426,92.7116855108426,0.0,2785,92.7116855108426,25.0,11.0,78.57142857142857,HIGH
sidewalk_bottom,SW3,3207,3371,106.75991936562735,112.2194225698565,5.459503204229151,3356,111.72007776459164,29.0,14.0,93.33333333333333,HIGH
sidewalk_bottom,SW3,3466,3536,115.3819396698673,117.71221542777,2.3302757579027116,3471,115.54838793828893,23.0,11.0,91.66666666666666,HIGH
sidewalk_bottom,SW3,3636,3659,121.0411807962024,121.80684283094185,0.7656620347394494,3645,121.34078767936133,31.0,13.0,72.22222222222221,CRITICAL
sidewalk_bottom,SW3,4040,4040,134.49020088466932,134.49020088466932,0.0,4040,134.49020088466932,28.0,10.0,55.55555555555556,HIGH
