frame_id,timestamp_sec,high_or_critical_zone_count,total_zones,zones_high_or_critical,total_count,raw_multi_zone_alert
872,29.028578012730605,2,8,"crosswalk_main, sidewalk_right",237,0
873,29.06186766641493,2,8,"crosswalk_main, sidewalk_right",229,0
874,29.09515732009925,2,8,"crosswalk_main, sidewalk_right",245,0
875,29.12844697378358,2,8,"crosswalk_main, sidewalk_right",244,0
876,29.161736627467903,2,8,"crosswalk_main, sidewalk_right",253,0
877,29.195026281152227,2,8,"crosswalk_main, sidewalk_right",242,0
878,29.22831593483655,2,8,"crosswalk_main, sidewalk_right",254,0
879,29.26160558852088,2,8,"crosswalk_main, sidewalk_right",239,0
880,29.2948952422052,2,8,"crosswalk_main, sidewalk_right",250,0
881,29.328184895889525,2,8,"crosswalk_main, sidewalk_right",242,0
882,29.36147454957385,2,8,"crosswalk_main, sidewalk_right",252,0
883,29.394764203258173,2,8,"crosswalk_main, sidewalk_right",249,0
884,29.428053856942498,2,8,"crosswalk_main, sidewalk_right",255,0
885,29.46134351062682,2,8,"crosswalk_main, sidewalk_right",265,0
886,29.494633164311143,2,8,"crosswalk_main, sidewalk_right",268,0
887,29.527922817995467,2,8,"crosswalk_main, sidewalk_right",270,0
888,29.56121247167979,2,8,"crosswalk_main, sidewalk_right",251,0
889,29.59450212536412,2,8,"crosswalk_main, sidewalk_right",229,0
890,29.62779177904844,2,8,"crosswalk_main, sidewalk_right",235,0
891,29.661081432732765,2,8,"crosswalk_main, sidewalk_right",223,0
892,29.69437108641709,2,8,"crosswalk_main, sidewalk_right",234,0
893,29.727660740101413,2,8,"crosswalk_main, sidewalk_right",231,0
894,29.760950393785738,2,8,"crosswalk_main, sidewalk_right",255,0
895,29.794240047470065,2,8,"crosswalk_main, sidewalk_right",226,0
896,29.827529701154383,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",249,1
897,29.86081935483871,2,8,"crosswalk_main, sidewalk_right",244,0
898,29.894109008523035,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",271,1
899,29.92739866220736,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",267,1
900,29.96068831589168,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",260,1
901,29.993977969576004,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",274,1
902,30.02726762326033,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",282,1
903,30.060557276944653,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",276,1
904,30.093846930628978,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",273,1
905,30.127136584313305,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",262,1
906,30.160426237997623,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",268,1
907,30.19371589168195,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",258,1
908,30.227005545366275,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",281,1
909,30.2602951990506,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",277,1
910,30.293584852734924,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",271,1
911,30.326874506419248,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",265,1
912,30.36016416010357,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",265,1
913,30.393453813787893,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",265,1
914,30.426743467472217,2,8,"crosswalk_left, crosswalk_main",271,0
915,30.460033121156545,2,8,"crosswalk_left, crosswalk_main",238,0
916,30.493322774840863,2,8,"crosswalk_left, crosswalk_main",246,0
917,30.52661242852519,2,8,"crosswalk_left, crosswalk_main",249,0
918,30.559902082209515,2,8,"crosswalk_left, crosswalk_main",253,0
919,30.59319173589384,2,8,"crosswalk_left, crosswalk_main",236,0
920,30.626481389578164,1,8,crosswalk_main,231,0
921,30.659771043262488,2,8,"crosswalk_left, crosswalk_main",237,0
922,30.69306069694681,1,8,crosswalk_main,246,0
923,30.726350350631137,1,8,crosswalk_main,245,0
924,30.75964000431546,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",258,1
925,30.792929657999785,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",246,1
926,30.826219311684103,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",263,1
927,30.85950896536843,2,8,"crosswalk_main, sidewalk_right",249,0
928,30.892798619052755,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",253,1
929,30.92608827273708,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",244,1
